Country,Phone_Code,Office_Number,Contact_Person
China,+86,010-12345678,Li Wei
Russia,+7,495-1234567,Irina Ivanova
Mexico,+52,55-12345678,Carlos Ramirez
Italy,+39,06-12345678,Giulia Rossi
Spain,+34,91-1234567,Carmen García
Turkey,+90,212-1234567,Ahmet Yılmaz
Saudi Arabia,+966,11-1234567,Fatima Al Saud
Egypt,+20,2-12345678,Mohamed Hassan
South Korea,+82,02-1234567,Min-Jun Kim
Indonesia,+62,21-1234567,Budi Santoso
Argentina,+54,11-12345678,Lucía Fernández
Netherlands,+31,20-1234567,Jan de Vries
Sweden,+46,08-123456,Anna Svensson
Switzerland,+41,44-1234567,Markus Meier
Nigeria,+234,01-1234567,Chinedu Okafor
Pakistan,+92,21-1234567,Ayesha Khan
Poland,+48,22-1234567,Piotr Nowak
Thailand,+66,2-1234567,Somsak Chaiyaporn
Malaysia,+60,03-1234567,Aisyah Ahmad
Singapore,+65,6123-4567,Wei Ling Tan
United Arab Emirates,+971,4-1234567,Omar Al Farsi
Belgium,+32,02-1234567,Marie Dubois
Austria,+43,1-1234567,Johann Bauer
Norway,+47,22-123456,Ole Hansen
Denmark,+45,33-123456,Freja Nielsen
Ireland,+353,01-1234567,Sean O'Brien
Greece,+30,21-1234567,Elena Papadopoulos
Portugal,+351,21-1234567,João Silva
Israel,+972,3-1234567,David Cohen
Chile,+56,2-1234567,Valentina Torres
Colombia,+57,1-1234567,Juan Martinez
Finland,+358,09-1234567,Mikko Virtanen
Czech Republic,+420,2-1234567,Jan Novak
Hungary,+36,1-1234567,Eszter Toth
Romania,+40,21-1234567,Andrei Popescu
New Zealand,+64,09-1234567,Emma Wilson
Morocco,+212,05-1234567,Samira El Amrani
Vietnam,+84,24-1234567,Nguyen Van A
Philippines,+63,2-1234567,Maria Santos
Ukraine,+380,44-1234567,Olena Shevchenko
Bangladesh,+880,2-1234567,Abdul Rahman
Peru,+51,1-1234567,Diego Lopez
Venezuela,+58,212-1234567,Ana González
Algeria,+213,21-1234567,Karim Benali
Kenya,+254,20-1234567,Grace Mwangi
Ethiopia,+251,11-1234567,Abebe Bekele
Ghana,+233,30-1234567,Kofi Mensah